LANDING_YEAR,LANDING_MONTH,PORT_NAME,SDM_SPAWN_90
1998,1,ABERDEEN,0.213548387
1998,1,ALAMEDA,0.124969219
1998,1,ANACORTES,0
1998,1,ASTORIA,0.189734089
1998,1,AVALON,0.086154255
1998,1,AVILA,0.044724328
1998,1,BELLINGHAM BAY,0
1998,1,BERKELEY,0.124599852
1998,1,BODEGA BAY,0.146911728
1998,1,BROOKINGS,0.120967742
1998,1,CHARLESTON (COOS BAY),0.126630062
1998,1,CHINOOK,0.189734089
1998,1,CRESCENT CITY,0.105990783
1998,1,DANA POINT,0.059926567
1998,1,DILLON BEACH,0.153722084
1998,1,EUREKA,0.124423963
1998,1,FIELDS LANDING,0.126274134
1998,1,FORT BRAGG,0.101382488
1998,1,GARIBALDI (TILLAMOOK),0.16206629
1998,1,GAVIOTA,0.140774194
1998,1,GOLETA,0.150148983
1998,1,GUADALUPE,0.070556484
1998,1,HUMBOLDT,0.124423963
1998,1,HUNTINGTON BEACH,0.078415945
1998,1,ILWACO,0.189734089
1998,1,LACONNER,0
1998,1,LONG BEACH,0.086065039
1998,1,LOS ANGELES,0.093912591
1998,1,MARCONI,0.145530657
1998,1,MISSION BAY,0.025148124
1998,1,MONTEREY,0.096646185
1998,1,MORRO BAY,0.039270687
1998,1,MOSS LANDING,0.092933948
1998,1,NASELLE,0.208211144
1998,1,NATIONAL CITY,0.029349551
1998,1,NEAH BAY,0.227901131
1998,1,NEWPORT,0.177812746
1998,1,NEWPORT BEACH,0.063061872
1998,1,OCEANSIDE,0.037037037
1998,1,OXNARD,0.122943386
1998,1,PLAYA DEL REY,0.098341387
1998,1,POINT LOMA,0.029714898
1998,1,PORT HUENEME,0.115841713
1998,1,PORT ORFORD,0.151042273
1998,1,PRINCETON / HALF MOON BAY,0.131513648
1998,1,REDONDO BEACH,0.090611067
1998,1,REDWOOD CITY,0.120438411
1998,1,SAN DIEGO,0.029349551
1998,1,SAN FRANCISCO,0.133516004
1998,1,SAN PEDRO,0.093912591
1998,1,SAN SIMEON,0.044196088
1998,1,SANTA BARBARA,0.147128245
1998,1,SANTA CRUZ,0.105334988
1998,1,SANTA MONICA,0.098341387
