LANDING_YEAR,LANDING_MONTH,PORT_NAME,SDM_90,AGENCY_CODE
2000,1,ABERDEEN,0.254082988,W
2000,1,ALAMEDA,0.15178702,C
2000,1,ANACORTES,NA,W
2000,1,ASTORIA,0.21276174,O
2000,1,AVALON,0.038473137,C
2000,1,AVILA,0.057641437,C
2000,1,BELLINGHAM BAY,NA,W
2000,1,BERKELEY,0.154059065,C
2000,1,BODEGA BAY,0.099513458,C
2000,1,BROOKINGS,0.080056164,O
2000,1,CHARLESTON (COOS BAY),0.096012567,O
2000,1,CHINOOK,0.212429537,W
2000,1,CRESCENT CITY,0.084178081,C
2000,1,DANA POINT,0.036172299,C
2000,1,DILLON BEACH,0.106775474,C
2000,1,EUREKA,0.069198126,C
2000,1,FIELDS LANDING,0.071314895,C
2000,1,FORT BRAGG,0.040742828,C
2000,1,GARIBALDI (TILLAMOOK),0.141606028,O
2000,1,GAVIOTA,0.09306945,C
2000,1,GOLETA,0.095797019,C
2000,1,GUADALUPE,0.065639569,C
2000,1,HUMBOLDT,0.069198126,C
2000,1,HUNTINGTON BEACH,0.040246405,C
2000,1,ILWACO,0.212429537,W
2000,1,LACONNER,NA,W
2000,1,LONG BEACH,0.039881321,C
2000,1,LOS ANGELES,0.039857826,C
2000,1,MARCONI,0.106446776,C
2000,1,MISSION BAY,0.032081848,C
2000,1,MONTEREY,0.051691074,C
2000,1,MORRO BAY,0.054360675,C
2000,1,MOSS LANDING,0.058962394,C
2000,1,NASELLE,0.263259383,W
2000,1,NATIONAL CITY,0.0308076,C
2000,1,NEAH BAY,0.233306912,W
2000,1,NEWPORT,0.143435762,O
2000,1,NEWPORT BEACH,0.03828166,C
2000,1,OCEANSIDE,0.035043136,C
2000,1,OXNARD,0.073018163,C
2000,1,PLAYA DEL REY,0.043852113,C
2000,1,POINT LOMA,0.031461169,C
2000,1,PORT HUENEME,0.072083663,C
2000,1,PORT ORFORD,0.069395724,O
2000,1,PRINCETON / HALF MOON BAY,0.10011587,C
2000,1,REDONDO BEACH,0.042011425,C
2000,1,REDWOOD CITY,0.118547062,C
2000,1,SAN DIEGO,0.031247383,C
2000,1,SAN FRANCISCO,0.133558295,C
2000,1,SAN PEDRO,0.039943929,C
2000,1,SAN SIMEON,0.048756065,C
2000,1,SANTA BARBARA,0.091960192,C
2000,1,SANTA CRUZ,0.061907497,C
2000,1,SANTA MONICA,0.043852113,C
2000,1,SAUSALITO,0.130382736,C
2000,1,SEAL BEACH,0.040246405,C
2000,1,TACOMA,NA,W
2000,1,TERMINAL ISLAND,0.039857826,C
2000,1,THE DALLES,NA,W
2000,1,TOMALES BAY,0.106446776,C
2000,1,VALLEJO,0.19016976,C
2000,1,VENTURA,0.07579724,C
2000,1,WESTPORT,0.252508214,W
2000,1,WHIDBY ISLAND,NA,W
2000,1,WILLOW CREEK,0.051900743,C
2000,1,WILMINGTON,0.039857826,C
2000,1,WINCHESTER BAY,0.125508373,O
2000,2,ABERDEEN,0.326234692,W
2000,2,ALAMEDA,0.120114259,C
2000,2,ANACORTES,NA,W
2000,2,ASTORIA,0.290182059,O
2000,2,AVALON,0.033128567,C
2000,2,AVILA,0.060306745,C
2000,2,BELLINGHAM BAY,NA,W
2000,2,BERKELEY,0.124439919,C
2000,2,BODEGA BAY,0.102710145,C
2000,2,BROOKINGS,0.11598017,O
2000,2,CHARLESTON (COOS BAY),0.117082674,O
2000,2,CHINOOK,0.289525222,W
2000,2,CRESCENT CITY,0.120438057,C
2000,2,DANA POINT,0.03348763,C
2000,2,DILLON BEACH,0.103491055,C
2000,2,EUREKA,0.082255838,C
2000,2,FIELDS LANDING,0.084818636,C
